date,team,score
2016-09-11,kyle,78.96
2016-09-11,nick,121.42
2016-09-11,pepe,76.84
2016-09-11,rown,78.68
2016-09-11,griz,117.3
2016-09-18,agus,82.26
2016-09-18,bill,83.88
2016-09-18,cart,96.62
2016-09-18,char,125.56
2016-09-18,coln,NA
2016-09-18,kier,78.48
2016-09-18,kyle,126.52
2016-09-18,nick,118.32
2016-09-18,pepe,105.56
2016-09-18,rown,55.12
2016-09-18,griz,100.66
2016-09-25,agus,93.52
2016-09-25,bill,67.66
2016-09-25,cart,112.9
2016-09-25,char,76.5
2016-09-25,coln,NA
2016-09-25,kier,114.24
2016-09-25,kyle,97.98
2016-09-25,nick,98.34
2016-09-25,pepe,69.98
2016-09-25,rown,106.2
2016-09-25,griz,73.58
2016-10-02,agus,96.76
2016-10-02,bill,72.3
2016-10-02,cart,113.38
2016-10-02,char,85.12
2016-10-02,coln,NA
2016-10-02,kier,85.66
2016-10-02,kyle,89.8
2016-10-02,nick,93.74
2016-10-02,pepe,128.22
2016-10-02,rown,84.12
2016-10-02,griz,77.04
2016-10-09,agus,100.86
2016-10-09,bill,110.82
2016-10-09,cart,113.96
2016-10-09,char,94.08
2016-10-09,coln,NA
2016-10-09,kier,109.68
2016-10-09,kyle,111.7
2016-10-09,nick,111.66
2016-10-09,pepe,92.78
2016-10-09,rown,109.64
2016-10-09,griz,65.6
2016-10-16,agus,42.9
2016-10-16,bill,85.56
2016-10-16,cart,116.06
2016-10-16,char,74.3
2016-10-16,coln,NA
2016-10-16,kier,144.68
2016-10-16,kyle,79.68
2016-10-16,nick,109.94
2016-10-16,pepe,85.62
2016-10-16,rown,107.34
2016-10-16,griz,85.56
2016-10-23,agus,77.56
2016-10-23,bill,79.14
2016-10-23,cart,130.54
2016-10-23,char,97.62
2016-10-23,coln,NA
2016-10-23,kier,76.02
2016-10-23,kyle,86.04
2016-10-23,nick,97.28
2016-10-23,pepe,82.96
2016-10-23,rown,112.58
2016-10-23,griz,127.02
2016-10-30,agus,85.42
2016-10-30,bill,48.98
2016-10-30,cart,116.54
2016-10-30,char,98.92
2016-10-30,coln,NA
2016-10-30,kier,105
2016-10-30,kyle,80.3
2016-10-30,nick,106.6
2016-10-30,pepe,107.12
2016-10-30,rown,103.2
2016-10-30,griz,104.56
2016-11-06,agus,92.94
2016-11-06,bill,70.4
2016-11-06,cart,136.58
2016-11-06,char,116.76
2016-11-06,coln,NA
2016-11-06,kier,85.04
2016-11-06,kyle,112.78
2016-11-06,nick,119.42
2016-11-06,pepe,146.72
2016-11-06,rown,56.86
2016-11-06,griz,72.66
2016-11-13,agus,118.12
2016-11-13,bill,85.74
2016-11-13,cart,100.94
2016-11-13,char,88.08
2016-11-13,coln,NA
2016-11-13,kier,94.6
2016-11-13,kyle,102.46
2016-11-13,nick,125.42
2016-11-13,pepe,87.7
2016-11-13,rown,94.04
2016-11-13,griz,87.96
2016-11-20,agus,85.48
2016-11-20,bill,98.78
2016-11-20,cart,83.74
2016-11-20,char,96.68
2016-11-20,coln,NA
2016-11-20,kier,94.48
2016-11-20,kyle,118.32
2016-11-20,nick,72.9
2016-11-20,pepe,81.9
2016-11-20,rown,105.1
2016-11-20,griz,73.18
2016-11-27,agus,84.24
2016-11-27,bill,73.34
2016-11-27,cart,106.32
2016-11-27,char,141.56
2016-11-27,coln,NA
2016-11-27,kier,95.66
2016-11-27,kyle,77.2
2016-11-27,nick,112.7
2016-11-27,pepe,85.44
2016-11-27,rown,92.34
2016-11-27,griz,100.84
