abbrev,year,week,player,first,last,pos,team,owned,start,slot,proj,score
PEPE,2019,2,3052587,Baker,Mayfield,QB,5,0.9403691262261331,0.5114001267043586,BE,17.7778331736,13.08
PEPE,2019,2,3046439,Hunter,Henry,TE,24,0.6622744595240903,0.1856897159259053,BE,0,0
PEPE,2019,2,0017359,Damien,Williams,RB,12,0.9515688747179253,0.6596573935604113,BE,10.53577547,5.6000000000000005
PEPE,2019,2,0014881,Russell,Wilson,QB,26,0.8937185061768531,0.4317367754969348,BE,17.879610561,24.2
PEPE,2019,2,4045163,Miles,Sanders,RB,21,0.8592366010159072,0.14425417790166928,BE,7.804170464000001,3.7
PEPE,2019,2,3121422,Terry,McLaurin,WR,28,0.409511847847477,0.07163548913609687,BE,6.556309722,12.2
PEPE,2019,2,0016804,John,Brown,WR,2,0.5680995169005228,0.16843870670862163,BE,6.970142932,7.2
PEPE,2019,2,3043078,Derrick,Henry,RB,10,0.9900878061203818,0.9147992672211707,FX,14.231274684000002,15.3
BILL,2019,2,3122840,Deshaun,Watson,QB,34,0.9964021233132685,0.8303185332738283,QB,18.676715675,12.86
BILL,2019,2,2977644,Todd,Gurley II,RB,14,0.9986318446655327,0.9543458647486928,RB,11.192996282000001,12.700000000000001
BILL,2019,2,3045147,James,Conner,RB,23,0.998002390475143,0.935436912872101,RB,13.908896622000004,10.5
BILL,2019,2,2976316,Michael,Thomas,WR,18,0.9990087806120381,0.9950583734162195,WR,11.186347991000002,8.9
BILL,2019,2,4241372,Marquise,Brown,WR,33,0.7393426030361545,0.20498998342508262,WR,6.186483750000001,8.6
BILL,2019,2,2576925,Darren,Waller,TE,13,0.783202792901977,0.5551551109744406,TE,7.355715588999999,6.300000000000001
BILL,2019,2,0016006,Cowboys,D/ST,D,6,0.3751645648304799,0.3034722079688962,DF,5.6390180459999995,-1.5
BILL,2019,2,0016486,Brett,Maher,K,6,0.61136370829846165,0.5356198838028402,K,7.857132311000002,7
BILL,2019,2,3116406,Tyreek,Hill,WR,12,0.9941086289810888,0.1775340745237091,BE,0,0
BILL,2019,2,0013981,Mark,Ingram II,RB,33,0.9786467290368744,0.8174640440406692,BE,11.323855483000001,7.7
BILL,2019,2,3925357,Calvin,Ridley,WR,1,0.944398340849385,0.4779333402307849,BE,8.195963831399999,16.5
BILL,2019,2,3917315,Kyler,Murray,QB,22,0.8316027658116879,0.16578178883689607,BE,15.324695575,16.36
BILL,2019,2,4040761,Devin,Singletary,RB,2,0.8228571469912014,0.22709199375509137,BE,8.166382255,11.7
BILL,2019,2,4036348,Michael,Gallup,WR,6,0.8153859956429474,0.25026354307527454,BE,7.1109512299999995,6.800000000000001
BILL,2019,2,4035004,Mecole,Hardman,WR,12,0.383149543407076,0.06969499216463101,BE,6.578426610600001,12.100000000000001
BILL,2019,2,3068267,Austin,Ekeler,RB,24,0.9684997840369677,0.8365098348190287,FX,12.821193680000002,17.3
CART,2019,2,0002330,Tom,Brady,QB,17,0.9657167943805876,0.7249361430395913,QB,19.995238294099998,24.66
CART,2019,2,3919596,Chris,Carson,RB,26,0.9840568039665537,0.892007203233786,RB,12.696510822000002,6.7
CART,2019,2,3128721,Sony,Michel,RB,17,0.9573573386719262,0.6845913248831339,RB,11.695229276000001,12.5
CART,2019,2,0016733,Odell,Beckham Jr.,WR,5,0.9988221419941107,0.9867339039336696,WR,11.4861280155,21.5
CART,2019,2,2976499,Amari,Cooper,WR,6,0.9968838178476855,0.9487316769647068,WR,9.348253215,10.4
CART,2019,2,3040151,George,Kittle,TE,25,0.9980681026380167,0.9837062184664787,TE,10.067628615,5.4
CART,2019,2,0016034,Texans,D/ST,D,34,0.6122577531090442,0.5323810088838203,DF,6.970384136499999,11
CART,2019,2,3055899,Harrison,Butker,K,12,0.9774572601629187,0.9342734540350424,K,9.082494206,4
CART,2019,2,0012514,LeSean,McCoy,RB,12,0.8715623279400413,0.24898762723845258,BE,9.932706797,2.3000000000000003
CART,2019,2,3915416,DJ,Moore,WR,29,0.9365513818406502,0.48883327472864585,BE,8.6358701273,8.9
CART,2019,2,2573079,Carson,Wentz,QB,21,0.9679558957247677,0.7936244155508644,BE,20.084051547,17.54
CART,2019,2,0014912,Alshon,Jeffery,WR,21,0.9661737393381764,0.6274668976110425,BE,8.867443007,0
CART,2019,2,3052117,Phillip,Lindsay,RB,7,0.9408957059653439,0.38709763773830624,BE,10.019362528999999,6.6
CART,2019,2,0016014,Rams,D/ST,D,14,0.9152843141993781,0.5986607842534125,BE,2.9168639379999997,6.5
CART,2019,2,4048244,Alexander,Mattison,RB,16,0.13180995046256405,0.0010302513335749793,BE,2.7502382490999997,2.5
CART,2019,2,0016731,Brandin,Cooks,WR,14,0.9875634795053174,0.8339103375275569,FX,9.6848352884,13.600000000000001
KIER,2019,2,0002580,Drew,Brees,QB,18,0.9710994571397265,0.6034652786394896,QB,17.0164522983,-0.48
KIER,2019,2,3117251,Christian,McCaffrey,RB,29,0.999080410205059,0.9980602515812458,RB,19.363332743,5.300000000000001
KIER,2019,2,0015825,Le'Veon,Bell,RB,20,0.9982440807361114,0.9547599375480219,RB,14.305886099,15.7
KIER,2019,2,0015880,Robert,Woods,WR,14,0.9806610786934706,0.8131456044452966,WR,9.2926670395,4.2
KIER,2019,2,2587819,Tyrell,Williams,WR,13,0.8896042820367747,0.5766887145062822,WR,10.026804892000001,10.600000000000001
